*************************************************************************
*************************************************************************
   STATISTICS FROM DNS OF TURBULENT COUETTE FLOW AT RETAU = 171

 References: 

 S. Pirozzoli, M. Bernardini and P. Orlandi, "Turbulence statistics in Couette flow at high Reynolds number'', Journal of Fluid Mechanics 742, in press (2014)

*************************************************************************
*************************************************************************
*
* Date of file: October 03, 2014
*
 ***********************************
 Wall-normal profiles:
 ***********************************

        y                y+              U+              u'+             v'+             w'+            u'v'+
   0.1673698E-03   0.2852763E-01   0.2852719E-01   0.1220586E-01   0.0000000E+00   0.8201257E-02  -0.5475849E-07
   0.5128384E-03   0.8741158E-01   0.8740228E-01   0.3754269E-01   0.4409264E-04   0.2494428E-01  -0.8872953E-06
   0.8803606E-03   0.1500545E+00   0.1500357E+00   0.6441440E-01   0.1858471E-03   0.4248876E-01  -0.4213597E-05
   0.1271069E-02   0.2166495E+00   0.2166201E+00   0.9292780E-01   0.4409000E-03   0.6084369E-01  -0.1249584E-04
   0.1686275E-02   0.2874199E+00   0.2873786E+00   0.1231854E+00   0.8263384E-03   0.8002124E-01  -0.2908788E-04
   0.2127290E-02   0.3625894E+00   0.3625337E+00   0.1552789E+00   0.1360575E-02   0.1000281E+00  -0.5847176E-04
   0.2595425E-02   0.4423814E+00   0.4423074E+00   0.1892955E+00   0.2063888E-02   0.1208648E+00  -0.1065391E-03
   0.3092170E-02   0.5270500E+00   0.5269514E+00   0.2253334E+00   0.2957785E-02   0.1425339E+00  -0.1809377E-03
   0.3619075E-02   0.6168592E+00   0.6167265E+00   0.2635062E+00   0.4065634E-02   0.1650337E+00  -0.2914729E-03
   0.4177570E-02   0.7120529E+00   0.7118715E+00   0.3039044E+00   0.5411822E-02   0.1883506E+00  -0.4505787E-03
   0.4769325E-02   0.8129156E+00   0.8126634E+00   0.3466370E+00   0.7022996E-02   0.2124732E+00  -0.6738953E-03
   0.5396128E-02   0.9197519E+00   0.9193970E+00   0.3918189E+00   0.8926429E-02   0.2373877E+00  -0.9808748E-03
   0.6059527E-02   0.1032826E+01   0.1032322E+01   0.4395410E+00   0.1115075E-01   0.2630626E+00  -0.1395445E-02
   0.6761432E-02   0.1152463E+01   0.1151744E+01   0.4899148E+00   0.1372577E-01   0.2894723E+00  -0.1946908E-02
   0.7503629E-02   0.1278968E+01   0.1277942E+01   0.5430326E+00   0.1668240E-01   0.3165783E+00  -0.2670621E-02
   0.8288145E-02   0.1412687E+01   0.1411226E+01   0.5989938E+00   0.2005141E-01   0.3443424E+00  -0.3608983E-02
   0.9117007E-02   0.1553963E+01   0.1551893E+01   0.6578773E+00   0.2386463E-01   0.3727180E+00  -0.4812309E-02
   0.9992242E-02   0.1703144E+01   0.1700228E+01   0.7197466E+00   0.2815395E-01   0.4016499E+00  -0.6339507E-02
   0.1091594E-01   0.1860585E+01   0.1856507E+01   0.7846450E+00   0.3295030E-01   0.4310772E+00  -0.8258876E-02
   0.1189035E-01   0.2026671E+01   0.2021012E+01   0.8525975E+00   0.3828485E-01   0.4609374E+00  -0.1064865E-01
   0.1291776E-01   0.2201788E+01   0.2193998E+01   0.9235952E+00   0.4418636E-01   0.4911608E+00  -0.1359731E-01
   0.1400054E-01   0.2386344E+01   0.2375705E+01   0.9975973E+00   0.5068426E-01   0.5216752E+00  -0.1720365E-01
   0.1514113E-01   0.2580755E+01   0.2566344E+01   0.1074520E+01   0.5780477E-01   0.5524045E+00  -0.2157594E-01
   0.1634204E-01   0.2785447E+01   0.2766084E+01   0.1154232E+01   0.6557237E-01   0.5832704E+00  -0.2683119E-01
   0.1760578E-01   0.3000847E+01   0.2975038E+01   0.1236546E+01   0.7400949E-01   0.6141917E+00  -0.3309318E-01
   0.1893497E-01   0.3227401E+01   0.3193272E+01   0.1321220E+01   0.8313541E-01   0.6450889E+00  -0.4049033E-01
   0.2033246E-01   0.3465599E+01   0.3420816E+01   0.1407965E+01   0.9296693E-01   0.6758879E+00  -0.4915309E-01
   0.2180088E-01   0.3715886E+01   0.3657574E+01   0.1496411E+01   0.1035181E+00   0.7065108E+00  -0.5920897E-01
   0.2334309E-01   0.3978751E+01   0.3903395E+01   0.1586140E+01   0.1147990E+00   0.7368878E+00  -0.7077915E-01
   0.2496219E-01   0.4254721E+01   0.4158063E+01   0.1676686E+01   0.1268174E+00   0.7669581E+00  -0.8397359E-01
   0.2666092E-01   0.4544264E+01   0.4421198E+01   0.1767509E+01   0.1395765E+00   0.7966595E+00  -0.9888419E-01
   0.2844256E-01   0.4847939E+01   0.4692386E+01   0.1858054E+01   0.1530775E+00   0.8259457E+00  -0.1155819E+00
   0.3031015E-01   0.5166265E+01   0.4971058E+01   0.1947715E+01   0.1673173E+00   0.8547734E+00  -0.1341093E+00
   0.3226686E-01   0.5499777E+01   0.5256550E+01   0.2035874E+01   0.1822903E+00   0.8831081E+00  -0.1544774E+00
   0.3431588E-01   0.5849028E+01   0.5548090E+01   0.2121904E+01   0.1979870E+00   0.9109234E+00  -0.1766609E+00
   0.3646064E-01   0.6214594E+01   0.5844828E+01   0.2205197E+01   0.2143951E+00   0.9382015E+00  -0.2005976E+00
   0.3870451E-01   0.6597055E+01   0.6145813E+01   0.2285167E+01   0.2315001E+00   0.9649298E+00  -0.2261859E+00
   0.4105085E-01   0.6996980E+01   0.6450009E+01   0.2361262E+01   0.2492838E+00   0.9910991E+00  -0.2532859E+00
   0.4350317E-01   0.7414969E+01   0.6756339E+01   0.2432991E+01   0.2677254E+00   0.1016705E+01  -0.2817220E+00
   0.4606503E-01   0.7851631E+01   0.7063687E+01   0.2499928E+01   0.2868003E+00   0.1041743E+01  -0.3112879E+00
   0.4874003E-01   0.8307575E+01   0.7370917E+01   0.2561717E+01   0.3064836E+00   0.1066210E+01  -0.3417519E+00
   0.5153179E-01   0.8783422E+01   0.7676898E+01   0.2618085E+01   0.3267433E+00   0.1090100E+01  -0.3728630E+00
   0.5444396E-01   0.9279790E+01   0.7980525E+01   0.2668839E+01   0.3475482E+00   0.1113405E+01  -0.4043607E+00
   0.5748022E-01   0.9797311E+01   0.8280742E+01   0.2713870E+01   0.3688602E+00   0.1136110E+01  -0.4359813E+00
   0.6064439E-01   0.1033663E+02   0.8576569E+01   0.2753148E+01   0.3906402E+00   0.1158200E+01  -0.4674669E+00
   0.6394017E-01   0.1089839E+02   0.8867099E+01   0.2786716E+01   0.4128430E+00   0.1179654E+01  -0.4985724E+00
   0.6737143E-01   0.1148323E+02   0.9151531E+01   0.2814686E+01   0.4354222E+00   0.1200446E+01  -0.5290735E+00
   0.7094193E-01   0.1209181E+02   0.9429160E+01   0.2837226E+01   0.4583259E+00   0.1220550E+01  -0.5587690E+00
   0.7465559E-01   0.1272480E+02   0.9699407E+01   0.2854553E+01   0.4814979E+00   0.1239934E+01  -0.5874854E+00
   0.7851624E-01   0.1338283E+02   0.9961791E+01   0.2866924E+01   0.5048810E+00   0.1258570E+01  -0.6150814E+00
   0.8252764E-01   0.1406656E+02   0.1021594E+02   0.2874626E+01   0.5284129E+00   0.1276426E+01  -0.6414453E+00
   0.8669376E-01   0.1477666E+02   0.1046161E+02   0.2877970E+01   0.5520308E+00   0.1293476E+01  -0.6664959E+00
   0.9101844E-01   0.1551379E+02   0.1069863E+02   0.2877279E+01   0.5756685E+00   0.1309694E+01  -0.6901796E+00
   0.9550548E-01   0.1627859E+02   0.1092694E+02   0.2872885E+01   0.5992606E+00   0.1325060E+01  -0.7124705E+00
   0.1001587E+00   0.1707171E+02   0.1114655E+02   0.2865125E+01   0.6227393E+00   0.1339560E+01  -0.7333637E+00
   0.1049820E+00   0.1789383E+02   0.1135755E+02   0.2854331E+01   0.6460402E+00   0.1353184E+01  -0.7528757E+00
   0.1099790E+00   0.1874556E+02   0.1156007E+02   0.2840833E+01   0.6690987E+00   0.1365928E+01  -0.7710394E+00
   0.1151536E+00   0.1962754E+02   0.1175432E+02   0.2824948E+01   0.6918523E+00   0.1377794E+01  -0.7878986E+00
   0.1205093E+00   0.2054040E+02   0.1194053E+02   0.2806985E+01   0.7142428E+00   0.1388792E+01  -0.8035091E+00
   0.1260499E+00   0.2148478E+02   0.1211897E+02   0.2787238E+01   0.7362145E+00   0.1398934E+01  -0.8179311E+00
   0.1317788E+00   0.2246126E+02   0.1228992E+02   0.2765986E+01   0.7577163E+00   0.1408237E+01  -0.8312309E+00
   0.1376998E+00   0.2347047E+02   0.1245369E+02   0.2743492E+01   0.7787013E+00   0.1416724E+01  -0.8434755E+00
   0.1438161E+00   0.2451298E+02   0.1261061E+02   0.2720001E+01   0.7991275E+00   0.1424415E+01  -0.8547329E+00
   0.1501311E+00   0.2558934E+02   0.1276101E+02   0.2695745E+01   0.8189571E+00   0.1431335E+01  -0.8650704E+00
   0.1566482E+00   0.2670016E+02   0.1290520E+02   0.2670934E+01   0.8381587E+00   0.1437509E+01  -0.8745548E+00
   0.1633705E+00   0.2784595E+02   0.1304353E+02   0.2645765E+01   0.8567045E+00   0.1442962E+01  -0.8832486E+00
   0.1703010E+00   0.2902723E+02   0.1317631E+02   0.2620417E+01   0.8745731E+00   0.1447722E+01  -0.8912135E+00
   0.1774428E+00   0.3024453E+02   0.1330387E+02   0.2595053E+01   0.8917473E+00   0.1451816E+01  -0.8985064E+00
   0.1847987E+00   0.3149832E+02   0.1342651E+02   0.2569819E+01   0.9082144E+00   0.1455272E+01  -0.9051803E+00
   0.1923714E+00   0.3278905E+02   0.1354454E+02   0.2544848E+01   0.9239662E+00   0.1458117E+01  -0.9112847E+00
   0.2001634E+00   0.3411719E+02   0.1365825E+02   0.2520255E+01   0.9389988E+00   0.1460376E+01  -0.9168662E+00
   0.2081773E+00   0.3548313E+02   0.1376793E+02   0.2496147E+01   0.9533127E+00   0.1462076E+01  -0.9219686E+00
   0.2164153E+00   0.3688727E+02   0.1387384E+02   0.2472617E+01   0.9669111E+00   0.1463244E+01  -0.9266312E+00
   0.2248796E+00   0.3832998E+02   0.1397625E+02   0.2449745E+01   0.9798014E+00   0.1463907E+01  -0.9308917E+00
   0.2335721E+00   0.3981159E+02   0.1407540E+02   0.2427597E+01   0.9919926E+00   0.1464092E+01  -0.9347830E+00
   0.2424947E+00   0.4133241E+02   0.1417155E+02   0.2406226E+01   0.1003498E+01   0.1463825E+01  -0.9383398E+00
   0.2516489E+00   0.4289272E+02   0.1426490E+02   0.2385675E+01   0.1014331E+01   0.1463131E+01  -0.9415933E+00
   0.2610362E+00   0.4449275E+02   0.1435567E+02   0.2365975E+01   0.1024509E+01   0.1462036E+01  -0.9445718E+00
   0.2706578E+00   0.4613271E+02   0.1444406E+02   0.2347144E+01   0.1034052E+01   0.1460565E+01  -0.9473011E+00
   0.2805147E+00   0.4781279E+02   0.1453024E+02   0.2329195E+01   0.1042980E+01   0.1458741E+01  -0.9498035E+00
   0.2906078E+00   0.4953313E+02   0.1461438E+02   0.2312132E+01   0.1051316E+01   0.1456590E+01  -0.9521012E+00
   0.3009377E+00   0.5129383E+02   0.1469665E+02   0.2295950E+01   0.1059085E+01   0.1454139E+01  -0.9542137E+00
   0.3115048E+00   0.5309496E+02   0.1477718E+02   0.2280636E+01   0.1066312E+01   0.1451417E+01  -0.9561592E+00
   0.3223093E+00   0.5493653E+02   0.1485610E+02   0.2266171E+01   0.1073024E+01   0.1448454E+01  -0.9579555E+00
